Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031199,2001,03,11,0.0,1,N
IDCJAC0009,031199,2001,03,12,2.0,1,N
IDCJAC0009,031199,2001,03,13,28.0,1,N
IDCJAC0009,031199,2001,03,14,2.0,1,N
IDCJAC0009,031199,2001,03,15,64.0,1,N
IDCJAC0009,031199,2001,03,16,84.0,1,N
IDCJAC0009,031199,2001,03,17,10.0,1,N
IDCJAC0009,031199,2001,03,18,4.0,1,N
IDCJAC0009,031199,2001,03,19,0.0,1,N
IDCJAC0009,031199,2001,03,20,0.0,1,N
IDCJAC0009,031199,2001,03,21,0.0,1,N
IDCJAC0009,031199,2001,03,22,0.0,1,N
IDCJAC0009,031199,2001,03,23,0.0,1,N
IDCJAC0009,031199,2001,03,24,0.0,1,N
IDCJAC0009,031199,2001,03,25,0.0,1,N
IDCJAC0009,031199,2001,03,26,0.0,1,N
IDCJAC0009,031199,2001,03,27,0.0,1,N
IDCJAC0009,031199,2001,03,28,26.0,1,N
IDCJAC0009,031199,2001,03,29,2.0,1,N
IDCJAC0009,031199,2001,03,30,60.0,1,N
IDCJAC0009,031199,2001,03,31,46.0,1,N
IDCJAC0009,031199,2001,04,01,132.0,1,N
IDCJAC0009,031199,2001,04,02,56.0,1,N
IDCJAC0009,031199,2001,04,03,22.0,1,N
IDCJAC0009,031199,2001,04,04,30.0,1,N
IDCJAC0009,031199,2001,04,05,,,
IDCJAC0009,031199,2001,04,06,,,
IDCJAC0009,031199,2001,04,07,,,
IDCJAC0009,031199,2001,04,08,,,
IDCJAC0009,031199,2001,04,09,,,
IDCJAC0009,031199,2001,04,10,,,
IDCJAC0009,031199,2001,04,11,,,
IDCJAC0009,031199,2001,04,12,,,
IDCJAC0009,031199,2001,04,13,,,
IDCJAC0009,031199,2001,04,14,,,
IDCJAC0009,031199,2001,04,15,,,
IDCJAC0009,031199,2001,04,16,,,
IDCJAC0009,031199,2001,04,17,,,
IDCJAC0009,031199,2001,04,18,,,
IDCJAC0009,031199,2001,04,19,,,
IDCJAC0009,031199,2001,04,20,,,
IDCJAC0009,031199,2001,04,21,,,
IDCJAC0009,031199,2001,04,22,,,
IDCJAC0009,031199,2001,04,23,,,
IDCJAC0009,031199,2001,04,24,,,
IDCJAC0009,031199,2001,04,25,,,
IDCJAC0009,031199,2001,04,26,,,
IDCJAC0009,031199,2001,04,27,,,
IDCJAC0009,031199,2001,04,28,,,
IDCJAC0009,031199,2001,04,29,,,
IDCJAC0009,031199,2001,04,30,,,
IDCJAC0009,031199,2001,05,01,,,
IDCJAC0009,031199,2001,05,02,,,
IDCJAC0009,031199,2001,05,03,,,
IDCJAC0009,031199,2001,05,04,,,
IDCJAC0009,031199,2001,05,05,,,
IDCJAC0009,031199,2001,05,06,,,
IDCJAC0009,031199,2001,05,07,,,
IDCJAC0009,031199,2001,05,08,,,
IDCJAC0009,031199,2001,05,09,,,
IDCJAC0009,031199,2001,05,10,,,
IDCJAC0009,031199,2001,05,11,,,
IDCJAC0009,031199,2001,05,12,,,
IDCJAC0009,031199,2001,05,13,,,
IDCJAC0009,031199,2001,05,14,,,
IDCJAC0009,031199,2001,05,15,,,
IDCJAC0009,031199,2001,05,16,,,
IDCJAC0009,031199,2001,05,17,,,
IDCJAC0009,031199,2001,05,18,,,
IDCJAC0009,031199,2001,05,19,,,
IDCJAC0009,031199,2001,05,20,,,
IDCJAC0009,031199,2001,05,21,,,
IDCJAC0009,031199,2001,05,22,,,
IDCJAC0009,031199,2001,05,23,,,
IDCJAC0009,031199,2001,05,24,,,
IDCJAC0009,031199,2001,05,25,,,
IDCJAC0009,031199,2001,05,26,,,
IDCJAC0009,031199,2001,05,27,,,
IDCJAC0009,031199,2001,05,28,,,
IDCJAC0009,031199,2001,05,29,,,
IDCJAC0009,031199,2001,05,30,,,
IDCJAC0009,031199,2001,05,31,,,
IDCJAC0009,031199,2001,06,01,,,
IDCJAC0009,031199,2001,06,02,,,
